1,2
2,4
3,5
4,10
5,10
6,15
7,13
8,12
9,9
10,18
11,13
12,20
13,16
14,30
15,25
16,30
17,29
18,38
19,35
20,39
21,50
22,45
23,43
24,54
25,55
26,48
27,46
28,67
29,49
30,65
31,56
32,59
33,68
34,89
35,57
36,83
37,59
38,68
39,78
40,92
41,80
42,88
43,107
44,96
45,95
46,95
47,76
48,88
49,95
50,92
51,106
52,98
53,102
54,110
55,111
56,118
57,103
58,123
59,133
60,131
61,139
62,119
63,127
64,121
65,136
66,131
67,153
68,122
69,133
70,137
71,147
72,140
73,146
74,135
75,138
76,142
77,147
78,159
79,154
80,185
81,150
82,161
83,162
84,168
85,155
86,166
87,173
88,171
89,184
90,182
91,163
92,181
93,166
94,187
95,187
96,183
97,198
98,203
99,202
100,196
